impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K21-140583,A649728,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2329667,LOST,Harley,Dog,Under 1 year<p/>,Male,German Shepherd,Unknown,10/1/2021 0:00,Date Lost,18900 block of  133RD PL SE,RENTON,WA,98058,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2329667,Image Copyright HLP Inc. 2021,"Description: Lanky puppy with a caramel/auburn coat, big pleading eyes and skittish/anxious energy. Very eager/motivated around food. Big feet relative to body size. No collar.<p/>Age: Under 1 year<p/>Location Lost: 18920 133rd Pl SE, Renton, WA 98105, Renton WA  98058<p/>Lost Date: 10/01/2021<p/>",
K21-140685,A650041,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2331201,LOST,Quince,Dog,Over 1 year<p/>,Male,Eng Shepherd,Unknown,10/4/2021 0:00,Date Lost,SOUTH  HILL PUYALLUP WINCO @ 176TH,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2331201,Image Copyright HLP Inc. 2021,"Description: 65 lb, 6 year old English Shepherd, clear sable (tan & white) with Irish white markings on his face<p/>Age: Over 1 year<p/>Location Lost: South Hill Puyallup Winco @ 176th, Eatonville WA  98328<p/>Lost Date: 10/04/2021<p/>",
K21-141736,A652760,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2350767,LOST,Hank,Cat,Over 1 year<p/>,Male,Domestic Shorthair,Black,10/31/2021 0:00,Date Lost,WEST  TAPPS DRIVE EAST AND SUMNER TAPPS HWY EAST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2350767,Image Copyright HLP Inc. 2021,"Description: Solid black with green eyes. Lanky adolescent build. May still be missing a toenail on rear foot. May have noticeable scar across roof of mouth on palate from kitten injury. <p/>Age: Over 1 year<p/>Location Lost: West Tapps drive east and Sumner Tapps Hwy east, Bonney Lake WA  98391<p/>Lost Date: 2021-10-31<p/>",
K21-140949,A650729,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Naomi,Cat,6 YEARS,Spayed Female,Domestic Longhair,Gray / White,10/14/2021 0:00,Received on,21615 64TH AVE S,KENT,WA,98032,KING COUNTY,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A650729,Image Copyright HLP Inc. 2021,"Received on: 2021-10-14<p/> Description: Gray / White Spayed Female Domestic Longhair Cat<p/> Age: 6 YEARS<p/> Adoption Fee: $30<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Naomi and I am available for adoption.<p/><p/>I was brought in by my previous owner on 10/14/21 because I started defecating outside of the litterbox after my owners had a baby. I lived in a home with dogs and I am very friendly with people.<p/><p/>My personality color is BLUE. I love chin scratches and am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/>",BLUE
K21-140864,A650520,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2333283,LOST,Blaarg,Cat,Over 1 year<p/>,Male,Domestic Mediumhair,Unknown,10/8/2021 0:00,Date Lost,15300 block of  61ST PL NE,KENMORE,WA,98028,KENMORE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2333283,Image Copyright HLP Inc. 2021,"Description: Normally calm, might be scared. He is orange and white. Mostly orange with a white belly and toes. His eyes are a kind of green.  He is microchipped and has had his most recent Rabies shots.<p/>Age: Over 1 year<p/>Location Lost: 15333 61st pl NE Kenmore, WA, Bothell WA  98011<p/>Lost Date: 10/08/2021<p/>",
K21-141418,A651724,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2343166,LOST,,Cat,Over 1 year<p/>,Male,Domestic Shorthair,Unknown,10/27/2021 0:00,Date Lost,157TH  AND 22ND AVE.,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2343166,Image Copyright HLP Inc. 2021,"Description: Light orange and white short haired <p/>Age: Over 1 year<p/>Location Lost: 157th and 22nd Ave. , Tacoma WA  98445<p/>Lost Date: 2021-10-27<p/>",
K21-141638,A648993,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A648993,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Blynken,Cat,4 MONTHS,Spayed Female,Domestic Shorthair,Black,11/8/2021 0:00,Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A648993,Image Copyright HLP Inc. 2021,"Received on: 2021-11-08<p/> Description: Black<p/>  Spayed Female Domestic Shorthair Cat<p/> Age: 4 MONTHS<p/> Adoption Fee: $50.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hello, my name is Blynken and I am available for adoption.<p/><p/>I was brought into the shelter with my siblings by a good samaritan on 9/22/21.<p/><p/>We are all pretty shy kittens, who are hoping to find some humans who are kind and calm and patient to give us forever homes.<p/><p/>We are all sweet kitties who may need extra time and attention to warm up to new situations and new people. When we were wee little ones, we were not taught how nice and friendly people can be, but we are learning quickly! Though we may be timid at first, once you take the time to show us that we can trust you we will show you just how wonderful we can be.<p/><p/>Our caregivers have noticed that we seem to do well with other cats. When meeting cats in a new home, we would all do best with a slow introduction.<p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>",BLUE
K21-140276,A638158,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Mopsy,Rabbit Sh,1 YEAR 1 MONTH,Neutered Male,Rabbit Sh,Silver,9/22/2021 0:00,Received on,21615 64TH AVE S,KENT,WA,98032,WOODINVILLE,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A638158,Image Copyright HLP Inc. 2021,"Received on: 2021-09-22<p/> Description: Silver Neutered Male Rabbit Sh Rabbit Sh<p/> Age: 1 YEAR 1 MONTH<p/> Adoption Fee: $15.00<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Mopsy and I am available for adoption.<p/><p/>I was brought in by my previous owner on May 18, 2021 because they could no longer care for me. I lived in a home with other rabbits.<p/><p/>Rabbits are intelligent and complex animals who do well in families with humans who understand that they are prey animals, and do not enjoy being picked up or held. The best way to bond with me is to spend time with me on the floor, and shower me with plenty of greens and timothy hay! <p/><p/>I am a domestic rabbit and it is recommend that adopters keep me indoors. The nice thing about having an indoor rabbit is that I can come out of my cage for bunny playtime, in a rabbit proof area of the home. It's during this supervised playtime that rabbits often exhibit some of our most fun and interesting behaviors!<p/><p/>I would love a family who will interact with me daily to keep me active and social! When rabbits get the space and enrichment they need, we often form deep bonds with our humans!<p/><p/>My personality color is BLUE. I am a gentle and loving rabbit who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>If you would like to make an appointment to meet me, please call the front desk at 206-263-1320.<p/>",BLUE
K21-140944,A650714,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2334631,LOST,Goonie,Dog,Over 1 year<p/>,Female,Pomeranian,Unknown,10/12/2021 0:00,Date Lost,Martin  L King Jr Way S & S Bennett St,Seattle,,98118,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2334631,Image Copyright HLP Inc. 2021,"Description: Goonie is a golden brown Pomeranian, 13lbs and 13 years old.  Her coat is medium length.  She is very friendly and comes up to people.  Will yap a little at other dogs.  She needs thyroid medication, so she may be wobbly or not sure-footed.<p/>Age: Over 1 year<p/>Location Lost: Martin Luther King Jr Way S and S Bennett St, Seattle, WA 98118, Seattle WA  98118<p/>Lost Date: 10/12/2021<p/>",
K21-141002,A650858,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,NO AGE,Unknown,Domestic Shorthair,Gray,10/16/2021 0:00,Received on,1600 block of  N 175TH ST,SHORELINE,WA,98133,SHORELINE,47.756103,-122.339823,,Image Copyright HLP Inc. 2021,Received on: 2021-10-16<p/> Found Near: 1600 block of  N 175TH ST<p/> Description: Gray Unknown Domestic Shorthair Cat<p/> Age: NO AGE<p/>,
K21-141639,A652441,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A652441,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Lia,Cat,2 YEARS,Spayed Female,Domestic Mediumhair,Brn Tabby,11/8/2021 0:00,Received on,16000 block of  MILITARY RD S,SEATAC,WA,98188,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A652441,Image Copyright HLP Inc. 2021,"Received on: 2021-11-08<p/> Found Near: 16000 block of  MILITARY RD S<p/> Description: Brn Tabby Spayed Female Domestic Mediumhair Cat<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K21-141222,A651255,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2339278,LOST,Cotton,Cat,Over 1 year<p/>,Male,Turkish Angora,Unknown,10/18/2021 0:00,Date Lost,NE  38TH CT,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2339278,Image Copyright HLP Inc. 2021,"Description: Cotton is all white with blue eyes and medium build. His has very short tail with a kink in it under the fur. Pointy ears with small nicks in them. He is microchipped.<p/>Age: Over 1 year<p/>Location Lost: NE 38th ct, Sammamish WA  98074<p/>Lost Date: 10/18/2021<p/>",
K21-141398,A651674,Regional Animal Services of King County,LOST,,LOST,Junior,Cat,,Neutered Male,Domestic Shorthair,Brn Tabby,10/30/2021 0:00,Date Lost,5800 block of  17TH AVE S,SEATTLE,WA,98108,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=,Image Copyright HLP Inc. 2021,,
K21-141565,A652236,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A652236,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Harvey,Cat,10 YEARS,Neutered Male,Domestic Longhair,Org Tabby,11/5/2021 0:00,Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A652236,Image Copyright HLP Inc. 2021,"Received on: 2021-11-05<p/> Description: Org Tabby<p/>  Neutered Male Domestic Longhair Cat<p/> Age: 10 YEARS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hello there! My name is Harvey and I am available for adoption.<p/><p/>I was brought in by my previous owner on November 7, 2021 along with my brother Gonzo (A652238) because they were moving and couldn't take us. My previous owners stated that I have lived with men and women and I tolerate other cats, but don't like dogs too much.<p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, but once you give me a few chin scratches I let my guard down fairly quickly. Once I get to know you, I will be a very devoted friend!<p/><p/>Because of my shy nature, I would do best in a calm, quiet home.<p/><p/>",BLUE
K21-141605,A652341,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2348466,LOST,Smidgett,Dog,Over 1 year<p/>,Unknown,Pomeranian,Unknown,11/6/2021 0:00,Date Lost,28000 block of,,WA,98019,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2348466,Image Copyright HLP Inc. 2021,"Description: Black long hair curly tail up on her back, small approx. 10 to 12 pounds<p/>Age: Over 1 year<p/>Location Lost: 28000 ne 142pl. Duvall wa. 98019, Duvall WA  98019<p/>Lost Date: 11/06/2021<p/>",
